ts_code,symbol,exchange,name,fut_code,multiplier,trade_unit,per_unit,quote_unit,quote_unit_desc,d_mode_desc,list_date,delist_date,d_month,last_ddate
ICL2.CFX,ICL2,CFFEX,中证500期货当季连续,IC,,,,,,,,,,
IC.CFX,IC,CFFEX,中证500期货,IC,,,,,,,,,,
ICL1.CFX,ICL1,CFFEX,中证500期货次月连续,IC,,,,,,,,,,
ICL.CFX,ICL,CFFEX,中证500期货当月连续,IC,,,,,,,,,,
ICL3.CFX,ICL3,CFFEX,中证500期货下季连续,IC,,,,,,,,,,
IFL1.CFX,IFL1,CFFEX,沪深300期货次月,IF,,,,,,,,,,
IFL3.CFX,IFL3,CFFEX,沪深300期货下季,IF,,,,,,,,,,
IFL2.CFX,IFL2,CFFEX,沪深300期货当季,IF,,,,,,,,,,
IF.CFX,IF,CFFEX,沪深300期货,IF,,,,,,,,,,
IFL.CFX,IFL,CFFEX,沪深300期货当月,IF,,,,,,,,,,
IML2.CFX,IML2,CFFEX,中证1000期货当季连续,IM,,,,,,,,,,
IML1.CFX,IML1,CFFEX,中证1000期货次月连续,IM,,,,,,,,,,
IML.CFX,IML,CFFEX,中证1000期货当月连续,IM,,,,,,,,,,
IM.CFX,IM,CFFEX,中证1000期货,IM,,,,,,,,,,
IML3.CFX,IML3,CFFEX,中证1000期货下季连续,IM,,,,,,,,,,
IF1006.CFX,IF1006,CFFEX,IF1006,IF,300.0,张,1.0,指数点,0.2指数点,现金交割,20100416,20100618,201006,20100618
IF1009.CFX,IF1009,CFFEX,IF1009,IF,300.0,张,1.0,指数点,0.2指数点,现金交割,20100416,20100917,201009,20100917
IF1005.CFX,IF1005,CFFEX,IF1005,IF,300.0,张,1.0,指数点,0.2指数点,现金交割,20100416,20100521,201005,20100521
IF1012.CFX,IF1012,CFFEX,IF1012,IF,300.0,张,1.0,指数点,0.2指数点,现金交割,20100416,20101217,201012,20101217
IF1007.CFX,IF1007,CFFEX,IF1007,IF,300.0,张,1.0,指数点,0.2指数点,现金交割,20100524,20100716,201007,20100716
IF1008.CFX,IF1008,CFFEX,IF1008,IF,300.0,张,1.0,指数点,0.2指数点,现金交割,20100621,20100820,201008,20100820
IF1103.CFX,IF1103,CFFEX,IF1103,IF,300.0,张,1.0,指数点,0.2指数点,现金交割,20100719,20110318,201103,20110318
IF1010.CFX,IF1010,CFFEX,IF1010,IF,300.0,张,1.0,指数点,0.2指数点,现金交割,20100823,20101015,201010,20101015
IF1011.CFX,IF1011,CFFEX,IF1011,IF,300.0,张,1.0,指数点,0.2指数点,现金交割,20100920,20101119,201011,20101119
IF1106.CFX,IF1106,CFFEX,IF1106,IF,300.0,张,1.0,指数点,0.2指数点,现金交割,20101018,20110617,201106,20110617
IF1101.CFX,IF1101,CFFEX,IF1101,IF,300.0,张,1.0,指数点,0.2指数点,现金交割,20101122,20110121,201101,20110121
IF1102.CFX,IF1102,CFFEX,IF1102,IF,300.0,张,1.0,指数点,0.2指数点,现金交割,20101220,20110218,201102,20110218
IF1109.CFX,IF1109,CFFEX,IF1109,IF,300.0,张,1.0,指数点,0.2指数点,现金交割,20110124,20110916,201109,20110916
IF1104.CFX,IF1104,CFFEX,IF1104,IF,300.0,张,1.0,指数点,0.2指数点,现金交割,20110221,20110415,201104,20110415
IF1105.CFX,IF1105,CFFEX,IF1105,IF,300.0,张,1.0,指数点,0.2指数点,现金交割,20110321,20110520,201105,20110520
IF1112.CFX,IF1112,CFFEX,IF1112,IF,300.0,张,1.0,指数点,0.2指数点,现金交割,20110418,20111216,201112,20111216
IF1107.CFX,IF1107,CFFEX,IF1107,IF,300.0,张,1.0,指数点,0.2指数点,现金交割,20110523,20110715,201107,20110715
IF1108.CFX,IF1108,CFFEX,IF1108,IF,300.0,张,1.0,指数点,0.2指数点,现金交割,20110620,20110819,201108,20110819
IF1203.CFX,IF1203,CFFEX,IF1203,IF,300.0,张,1.0,指数点,0.2指数点,现金交割,20110718,20120316,201203,20120316
IF1110.CFX,IF1110,CFFEX,IF1110,IF,300.0,张,1.0,指数点,0.2指数点,现金交割,20110822,20111021,201110,20111021
IF1111.CFX,IF1111,CFFEX,IF1111,IF,300.0,张,1.0,指数点,0.2指数点,现金交割,20110919,20111118,201111,20111118
IF1206.CFX,IF1206,CFFEX,IF1206,IF,300.0,张,1.0,指数点,0.2指数点,现金交割,20111024,20120615,201206,20120615
IF1201.CFX,IF1201,CFFEX,IF1201,IF,300.0,张,1.0,指数点,0.2指数点,现金交割,20111121,20120120,201201,20120120
IF1202.CFX,IF1202,CFFEX,IF1202,IF,300.0,张,1.0,指数点,0.2指数点,现金交割,20111219,20120217,201202,20120217
IF1209.CFX,IF1209,CFFEX,IF1209,IF,300.0,张,1.0,指数点,0.2指数点,现金交割,20120130,20120921,201209,20120921
IF1204.CFX,IF1204,CFFEX,IF1204,IF,300.0,张,1.0,指数点,0.2指数点,现金交割,20120220,20120420,201204,20120420
IF1205.CFX,IF1205,CFFEX,IF1205,IF,300.0,张,1.0,指数点,0.2指数点,现金交割,20120319,20120518,201205,20120518
IF1212.CFX,IF1212,CFFEX,IF1212,IF,300.0,张,1.0,指数点,0.2指数点,现金交割,20120423,20121221,201212,20121221
IF1207.CFX,IF1207,CFFEX,IF1207,IF,300.0,张,1.0,指数点,0.2指数点,现金交割,20120521,20120720,201207,20120720
IF1208.CFX,IF1208,CFFEX,IF1208,IF,300.0,张,1.0,指数点,0.2指数点,现金交割,20120618,20120817,201208,20120817
IF1303.CFX,IF1303,CFFEX,IF1303,IF,300.0,张,1.0,指数点,0.2指数点,现金交割,20120723,20130315,201303,20130315
IF1210.CFX,IF1210,CFFEX,IF1210,IF,300.0,张,1.0,指数点,0.2指数点,现金交割,20120820,20121019,201210,20121019
IF1211.CFX,IF1211,CFFEX,IF1211,IF,300.0,张,1.0,指数点,0.2指数点,现金交割,20120924,20121116,201211,20121116
IF1306.CFX,IF1306,CFFEX,IF1306,IF,300.0,张,1.0,指数点,0.2指数点,现金交割,20121022,20130621,201306,20130621
IF1301.CFX,IF1301,CFFEX,IF1301,IF,300.0,张,1.0,指数点,0.2指数点,现金交割,20121119,20130118,201301,20130118
IF1302.CFX,IF1302,CFFEX,IF1302,IF,300.0,张,1.0,指数点,0.2指数点,现金交割,20121224,20130218,201302,20130218
IF1309.CFX,IF1309,CFFEX,IF1309,IF,300.0,张,1.0,指数点,0.2指数点,现金交割,20130121,20130923,201309,20130923
IF1304.CFX,IF1304,CFFEX,IF1304,IF,300.0,张,1.0,指数点,0.2指数点,现金交割,20130219,20130419,201304,20130419
IF1305.CFX,IF1305,CFFEX,IF1305,IF,300.0,张,1.0,指数点,0.2指数点,现金交割,20130318,20130517,201305,20130517
IF1312.CFX,IF1312,CFFEX,IF1312,IF,300.0,张,1.0,指数点,0.2指数点,现金交割,20130422,20131220,201312,20131220
IF1307.CFX,IF1307,CFFEX,IF1307,IF,300.0,张,1.0,指数点,0.2指数点,现金交割,20130520,20130719,201307,20130719
IF1308.CFX,IF1308,CFFEX,IF1308,IF,300.0,张,1.0,指数点,0.2指数点,现金交割,20130624,20130816,201308,20130816
IF1403.CFX,IF1403,CFFEX,IF1403,IF,300.0,张,1.0,指数点,0.2指数点,现金交割,20130722,20140321,201403,20140321
IF1310.CFX,IF1310,CFFEX,IF1310,IF,300.0,张,1.0,指数点,0.2指数点,现金交割,20130819,20131018,201310,20131018
IF1311.CFX,IF1311,CFFEX,IF1311,IF,300.0,张,1.0,指数点,0.2指数点,现金交割,20130924,20131115,201311,20131115
IF1406.CFX,IF1406,CFFEX,IF1406,IF,300.0,张,1.0,指数点,0.2指数点,现金交割,20131021,20140620,201406,20140620
IF1401.CFX,IF1401,CFFEX,IF1401,IF,300.0,张,1.0,指数点,0.2指数点,现金交割,20131118,20140117,201401,20140117
IF1402.CFX,IF1402,CFFEX,IF1402,IF,300.0,张,1.0,指数点,0.2指数点,现金交割,20131223,20140221,201402,20140221
IF1409.CFX,IF1409,CFFEX,IF1409,IF,300.0,张,1.0,指数点,0.2指数点,现金交割,20140120,20140919,201409,20140919
IF1404.CFX,IF1404,CFFEX,IF1404,IF,300.0,张,1.0,指数点,0.2指数点,现金交割,20140224,20140418,201404,20140418
IF1405.CFX,IF1405,CFFEX,IF1405,IF,300.0,张,1.0,指数点,0.2指数点,现金交割,20140324,20140516,201405,20140516
IF1412.CFX,IF1412,CFFEX,IF1412,IF,300.0,张,1.0,指数点,0.2指数点,现金交割,20140421,20141219,201412,20141219
IF1407.CFX,IF1407,CFFEX,IF1407,IF,300.0,张,1.0,指数点,0.2指数点,现金交割,20140519,20140718,201407,20140718
IF1408.CFX,IF1408,CFFEX,IF1408,IF,300.0,张,1.0,指数点,0.2指数点,现金交割,20140623,20140815,201408,20140815
IF1503.CFX,IF1503,CFFEX,IF1503,IF,300.0,张,1.0,指数点,0.2指数点,现金交割,20140721,20150320,201503,20150320
IF1410.CFX,IF1410,CFFEX,IF1410,IF,300.0,张,1.0,指数点,0.2指数点,现金交割,20140818,20141017,201410,20141017
IF1411.CFX,IF1411,CFFEX,IF1411,IF,300.0,张,1.0,指数点,0.2指数点,现金交割,20140922,20141121,201411,20141121
IF1506.CFX,IF1506,CFFEX,IF1506,IF,300.0,张,1.0,指数点,0.2指数点,现金交割,20141020,20150619,201506,20150619
IF1501.CFX,IF1501,CFFEX,IF1501,IF,300.0,张,1.0,指数点,0.2指数点,现金交割,20141124,20150116,201501,20150116
IF1502.CFX,IF1502,CFFEX,IF1502,IF,300.0,张,1.0,指数点,0.2指数点,现金交割,20141222,20150225,201502,20150225
IF1509.CFX,IF1509,CFFEX,IF1509,IF,300.0,张,1.0,指数点,0.2指数点,现金交割,20150119,20150918,201509,20150918
IF1504.CFX,IF1504,CFFEX,IF1504,IF,300.0,张,1.0,指数点,0.2指数点,现金交割,20150226,20150417,201504,20150417
IF1505.CFX,IF1505,CFFEX,IF1505,IF,300.0,张,1.0,指数点,0.2指数点,现金交割,20150323,20150515,201505,20150515
IC1509.CFX,IC1509,CFFEX,IC1509,IC,200.0,张,1.0,指数点,0.2指数点,现金交割,20150416,20150918,201509,20150918
IC1512.CFX,IC1512,CFFEX,IC1512,IC,200.0,张,1.0,指数点,0.2指数点,现金交割,20150416,20151218,201512,20151218
IC1506.CFX,IC1506,CFFEX,IC1506,IC,200.0,张,1.0,指数点,0.2指数点,现金交割,20150416,20150619,201506,20150619
IC1505.CFX,IC1505,CFFEX,IC1505,IC,200.0,张,1.0,指数点,0.2指数点,现金交割,20150416,20150515,201505,20150515
IF1512.CFX,IF1512,CFFEX,IF1512,IF,300.0,张,1.0,指数点,0.2指数点,现金交割,20150420,20151218,201512,20151218
IC1507.CFX,IC1507,CFFEX,IC1507,IC,200.0,张,1.0,指数点,0.2指数点,现金交割,20150518,20150717,201507,20150717
IF1507.CFX,IF1507,CFFEX,IF1507,IF,300.0,张,1.0,指数点,0.2指数点,现金交割,20150518,20150717,201507,20150717
IC1508.CFX,IC1508,CFFEX,IC1508,IC,200.0,张,1.0,指数点,0.2指数点,现金交割,20150623,20150821,201508,20150821
IF1508.CFX,IF1508,CFFEX,IF1508,IF,300.0,张,1.0,指数点,0.2指数点,现金交割,20150623,20150821,201508,20150821
IC1603.CFX,IC1603,CFFEX,IC1603,IC,200.0,张,1.0,指数点,0.2指数点,现金交割,20150720,20160318,201603,20160318
IF1603.CFX,IF1603,CFFEX,IF1603,IF,300.0,张,1.0,指数点,0.2指数点,现金交割,20150720,20160318,201603,20160318
IC1510.CFX,IC1510,CFFEX,IC1510,IC,200.0,张,1.0,指数点,0.2指数点,现金交割,20150824,20151016,201510,20151016
IF1510.CFX,IF1510,CFFEX,IF1510,IF,300.0,张,1.0,指数点,0.2指数点,现金交割,20150824,20151016,201510,20151016
IC1511.CFX,IC1511,CFFEX,IC1511,IC,200.0,张,1.0,指数点,0.2指数点,现金交割,20150921,20151120,201511,20151120
IF1511.CFX,IF1511,CFFEX,IF1511,IF,300.0,张,1.0,指数点,0.2指数点,现金交割,20150921,20151120,201511,20151120
IC1606.CFX,IC1606,CFFEX,IC1606,IC,200.0,张,1.0,指数点,0.2指数点,现金交割,20151019,20160617,201606,20160617
IF1606.CFX,IF1606,CFFEX,IF1606,IF,300.0,张,1.0,指数点,0.2指数点,现金交割,20151019,20160617,201606,20160617
IC1601.CFX,IC1601,CFFEX,IC1601,IC,200.0,张,1.0,指数点,0.2指数点,现金交割,20151123,20160115,201601,20160115
IF1601.CFX,IF1601,CFFEX,IF1601,IF,300.0,张,1.0,指数点,0.2指数点,现金交割,20151123,20160115,201601,20160115
IC1602.CFX,IC1602,CFFEX,IC1602,IC,200.0,张,1.0,指数点,0.2指数点,现金交割,20151221,20160219,201602,20160219
IF1602.CFX,IF1602,CFFEX,IF1602,IF,300.0,张,1.0,指数点,0.2指数点,现金交割,20151221,20160219,201602,20160219
IC1609.CFX,IC1609,CFFEX,IC1609,IC,200.0,张,1.0,指数点,0.2指数点,现金交割,20160118,20160919,201609,20160919
IF1609.CFX,IF1609,CFFEX,IF1609,IF,300.0,张,1.0,指数点,0.2指数点,现金交割,20160118,20160919,201609,20160919
IC1604.CFX,IC1604,CFFEX,IC1604,IC,200.0,张,1.0,指数点,0.2指数点,现金交割,20160222,20160415,201604,20160415
IF1604.CFX,IF1604,CFFEX,IF1604,IF,300.0,张,1.0,指数点,0.2指数点,现金交割,20160222,20160415,201604,20160415
IC1605.CFX,IC1605,CFFEX,IC1605,IC,200.0,张,1.0,指数点,0.2指数点,现金交割,20160321,20160520,201605,20160520
IF1605.CFX,IF1605,CFFEX,IF1605,IF,300.0,张,1.0,指数点,0.2指数点,现金交割,20160321,20160520,201605,20160520
IC1612.CFX,IC1612,CFFEX,IC1612,IC,200.0,张,1.0,指数点,0.2指数点,现金交割,20160418,20161216,201612,20161216
IF1612.CFX,IF1612,CFFEX,IF1612,IF,300.0,张,1.0,指数点,0.2指数点,现金交割,20160418,20161216,201612,20161216
IC1607.CFX,IC1607,CFFEX,IC1607,IC,200.0,张,1.0,指数点,0.2指数点,现金交割,20160523,20160715,201607,20160715
IF1607.CFX,IF1607,CFFEX,IF1607,IF,300.0,张,1.0,指数点,0.2指数点,现金交割,20160523,20160715,201607,20160715
IC1608.CFX,IC1608,CFFEX,IC1608,IC,200.0,张,1.0,指数点,0.2指数点,现金交割,20160620,20160819,201608,20160819
IF1608.CFX,IF1608,CFFEX,IF1608,IF,300.0,张,1.0,指数点,0.2指数点,现金交割,20160620,20160819,201608,20160819
IC1703.CFX,IC1703,CFFEX,IC1703,IC,200.0,张,1.0,指数点,0.2指数点,现金交割,20160718,20170317,201703,20170317
IF1703.CFX,IF1703,CFFEX,IF1703,IF,300.0,张,1.0,指数点,0.2指数点,现金交割,20160718,20170317,201703,20170317
IC1610.CFX,IC1610,CFFEX,IC1610,IC,200.0,张,1.0,指数点,0.2指数点,现金交割,20160822,20161021,201610,20161021
IF1610.CFX,IF1610,CFFEX,IF1610,IF,300.0,张,1.0,指数点,0.2指数点,现金交割,20160822,20161021,201610,20161021
IC1611.CFX,IC1611,CFFEX,IC1611,IC,200.0,张,1.0,指数点,0.2指数点,现金交割,20160920,20161118,201611,20161118
IF1611.CFX,IF1611,CFFEX,IF1611,IF,300.0,张,1.0,指数点,0.2指数点,现金交割,20160920,20161118,201611,20161118
IC1706.CFX,IC1706,CFFEX,IC1706,IC,200.0,张,1.0,指数点,0.2指数点,现金交割,20161024,20170616,201706,20170616
IF1706.CFX,IF1706,CFFEX,IF1706,IF,300.0,张,1.0,指数点,0.2指数点,现金交割,20161024,20170616,201706,20170616
IC1701.CFX,IC1701,CFFEX,IC1701,IC,200.0,张,1.0,指数点,0.2指数点,现金交割,20161121,20170120,201701,20170120
IF1701.CFX,IF1701,CFFEX,IF1701,IF,300.0,张,1.0,指数点,0.2指数点,现金交割,20161121,20170120,201701,20170120
IC1702.CFX,IC1702,CFFEX,IC1702,IC,200.0,张,1.0,指数点,0.2指数点,现金交割,20161219,20170217,201702,20170217
IF1702.CFX,IF1702,CFFEX,IF1702,IF,300.0,张,1.0,指数点,0.2指数点,现金交割,20161219,20170217,201702,20170217
IC1709.CFX,IC1709,CFFEX,IC1709,IC,200.0,张,1.0,指数点,0.2指数点,现金交割,20170123,20170915,201709,20170915
IF1709.CFX,IF1709,CFFEX,IF1709,IF,300.0,张,1.0,指数点,0.2指数点,现金交割,20170123,20170915,201709,20170915
IC1704.CFX,IC1704,CFFEX,IC1704,IC,200.0,张,1.0,指数点,0.2指数点,现金交割,20170220,20170421,201704,20170421
IF1704.CFX,IF1704,CFFEX,IF1704,IF,300.0,张,1.0,指数点,0.2指数点,现金交割,20170220,20170421,201704,20170421
IC1705.CFX,IC1705,CFFEX,IC1705,IC,200.0,张,1.0,指数点,0.2指数点,现金交割,20170320,20170519,201705,20170519
IF1705.CFX,IF1705,CFFEX,IF1705,IF,300.0,张,1.0,指数点,0.2指数点,现金交割,20170320,20170519,201705,20170519
IC1712.CFX,IC1712,CFFEX,IC1712,IC,200.0,张,1.0,指数点,0.2指数点,现金交割,20170424,20171215,201712,20171215
IF1712.CFX,IF1712,CFFEX,IF1712,IF,300.0,张,1.0,指数点,0.2指数点,现金交割,20170424,20171215,201712,20171215
IC1707.CFX,IC1707,CFFEX,IC1707,IC,200.0,张,1.0,指数点,0.2指数点,现金交割,20170522,20170721,201707,20170721
IF1707.CFX,IF1707,CFFEX,IF1707,IF,300.0,张,1.0,指数点,0.2指数点,现金交割,20170522,20170721,201707,20170721
IC1708.CFX,IC1708,CFFEX,IC1708,IC,200.0,张,1.0,指数点,0.2指数点,现金交割,20170619,20170818,201708,20170818
IF1708.CFX,IF1708,CFFEX,IF1708,IF,300.0,张,1.0,指数点,0.2指数点,现金交割,20170619,20170818,201708,20170818
IC1803.CFX,IC1803,CFFEX,IC1803,IC,200.0,张,1.0,指数点,0.2指数点,现金交割,20170724,20180316,201803,20180316
IF1803.CFX,IF1803,CFFEX,IF1803,IF,300.0,张,1.0,指数点,0.2指数点,现金交割,20170724,20180316,201803,20180316
IC1710.CFX,IC1710,CFFEX,IC1710,IC,200.0,张,1.0,指数点,0.2指数点,现金交割,20170821,20171020,201710,20171020
IF1710.CFX,IF1710,CFFEX,IF1710,IF,300.0,张,1.0,指数点,0.2指数点,现金交割,20170821,20171020,201710,20171020
IC1711.CFX,IC1711,CFFEX,IC1711,IC,200.0,张,1.0,指数点,0.2指数点,现金交割,20170918,20171117,201711,20171117
IF1711.CFX,IF1711,CFFEX,IF1711,IF,300.0,张,1.0,指数点,0.2指数点,现金交割,20170918,20171117,201711,20171117
IC1806.CFX,IC1806,CFFEX,IC1806,IC,200.0,张,1.0,指数点,0.2指数点,现金交割,20171023,20180615,201806,20180615
IF1806.CFX,IF1806,CFFEX,IF1806,IF,300.0,张,1.0,指数点,0.2指数点,现金交割,20171023,20180615,201806,20180615
IC1801.CFX,IC1801,CFFEX,IC1801,IC,200.0,张,1.0,指数点,0.2指数点,现金交割,20171120,20180119,201801,20180119
IF1801.CFX,IF1801,CFFEX,IF1801,IF,300.0,张,1.0,指数点,0.2指数点,现金交割,20171120,20180119,201801,20180119
IC1802.CFX,IC1802,CFFEX,IC1802,IC,200.0,张,1.0,指数点,0.2指数点,现金交割,20171218,20180222,201802,20180222
IF1802.CFX,IF1802,CFFEX,IF1802,IF,300.0,张,1.0,指数点,0.2指数点,现金交割,20171218,20180222,201802,20180222
IC1809.CFX,IC1809,CFFEX,IC1809,IC,200.0,张,1.0,指数点,0.2指数点,现金交割,20180122,20180921,201809,20180921
IF1809.CFX,IF1809,CFFEX,IF1809,IF,300.0,张,1.0,指数点,0.2指数点,现金交割,20180122,20180921,201809,20180921
IC1804.CFX,IC1804,CFFEX,IC1804,IC,200.0,张,1.0,指数点,0.2指数点,现金交割,20180223,20180420,201804,20180420
IF1804.CFX,IF1804,CFFEX,IF1804,IF,300.0,张,1.0,指数点,0.2指数点,现金交割,20180223,20180420,201804,20180420
IC1805.CFX,IC1805,CFFEX,IC1805,IC,200.0,张,1.0,指数点,0.2指数点,现金交割,20180319,20180518,201805,20180518
IF1805.CFX,IF1805,CFFEX,IF1805,IF,300.0,张,1.0,指数点,0.2指数点,现金交割,20180319,20180518,201805,20180518
IC1812.CFX,IC1812,CFFEX,IC1812,IC,200.0,张,1.0,指数点,0.2指数点,现金交割,20180423,20181221,201812,20181221
IF1812.CFX,IF1812,CFFEX,IF1812,IF,300.0,张,1.0,指数点,0.2指数点,现金交割,20180423,20181221,201812,20181221
IC1807.CFX,IC1807,CFFEX,IC1807,IC,200.0,张,1.0,指数点,0.2指数点,现金交割,20180521,20180720,201807,20180720
IF1807.CFX,IF1807,CFFEX,IF1807,IF,300.0,张,1.0,指数点,0.2指数点,现金交割,20180521,20180720,201807,20180720
IC1808.CFX,IC1808,CFFEX,IC1808,IC,200.0,张,1.0,指数点,0.2指数点,现金交割,20180619,20180817,201808,20180817
IF1808.CFX,IF1808,CFFEX,IF1808,IF,300.0,张,1.0,指数点,0.2指数点,现金交割,20180619,20180817,201808,20180817
IC1903.CFX,IC1903,CFFEX,IC1903,IC,200.0,张,1.0,指数点,0.2指数点,现金交割,20180723,20190315,201903,20190315
IF1903.CFX,IF1903,CFFEX,IF1903,IF,300.0,张,1.0,指数点,0.2指数点,现金交割,20180723,20190315,201903,20190315
IC1810.CFX,IC1810,CFFEX,IC1810,IC,200.0,张,1.0,指数点,0.2指数点,现金交割,20180820,20181019,201810,20181019
IF1810.CFX,IF1810,CFFEX,IF1810,IF,300.0,张,1.0,指数点,0.2指数点,现金交割,20180820,20181019,201810,20181019
IC1811.CFX,IC1811,CFFEX,IC1811,IC,200.0,张,1.0,指数点,0.2指数点,现金交割,20180925,20181116,201811,20181116
IF1811.CFX,IF1811,CFFEX,IF1811,IF,300.0,张,1.0,指数点,0.2指数点,现金交割,20180925,20181116,201811,20181116
IC1906.CFX,IC1906,CFFEX,IC1906,IC,200.0,张,1.0,指数点,0.2指数点,现金交割,20181022,20190621,201906,20190621
IF1906.CFX,IF1906,CFFEX,IF1906,IF,300.0,张,1.0,指数点,0.2指数点,现金交割,20181022,20190621,201906,20190621
IC1901.CFX,IC1901,CFFEX,IC1901,IC,200.0,张,1.0,指数点,0.2指数点,现金交割,20181119,20190118,201901,20190118
IF1901.CFX,IF1901,CFFEX,IF1901,IF,300.0,张,1.0,指数点,0.2指数点,现金交割,20181119,20190118,201901,20190118
IC1902.CFX,IC1902,CFFEX,IC1902,IC,200.0,张,1.0,指数点,0.2指数点,现金交割,20181224,20190215,201902,20190215
IF1902.CFX,IF1902,CFFEX,IF1902,IF,300.0,张,1.0,指数点,0.2指数点,现金交割,20181224,20190215,201902,20190215
IC1909.CFX,IC1909,CFFEX,IC1909,IC,200.0,张,1.0,指数点,0.2指数点,现金交割,20190121,20190920,201909,20190920
IF1909.CFX,IF1909,CFFEX,IF1909,IF,300.0,张,1.0,指数点,0.2指数点,现金交割,20190121,20190920,201909,20190920
IC1904.CFX,IC1904,CFFEX,IC1904,IC,200.0,张,1.0,指数点,0.2指数点,现金交割,20190218,20190419,201904,20190419
IF1904.CFX,IF1904,CFFEX,IF1904,IF,300.0,张,1.0,指数点,0.2指数点,现金交割,20190218,20190419,201904,20190419
IC1905.CFX,IC1905,CFFEX,IC1905,IC,200.0,张,1.0,指数点,0.2指数点,现金交割,20190318,20190517,201905,20190517
IF1905.CFX,IF1905,CFFEX,IF1905,IF,300.0,张,1.0,指数点,0.2指数点,现金交割,20190318,20190517,201905,20190517
IC1912.CFX,IC1912,CFFEX,IC1912,IC,200.0,张,1.0,指数点,0.2指数点,现金交割,20190422,20191220,201912,20191220
IF1912.CFX,IF1912,CFFEX,IF1912,IF,300.0,张,1.0,指数点,0.2指数点,现金交割,20190422,20191220,201912,20191220
IC1907.CFX,IC1907,CFFEX,IC1907,IC,200.0,张,1.0,指数点,0.2指数点,现金交割,20190520,20190719,201907,20190719
IF1907.CFX,IF1907,CFFEX,IF1907,IF,300.0,张,1.0,指数点,0.2指数点,现金交割,20190520,20190719,201907,20190719
IC1908.CFX,IC1908,CFFEX,IC1908,IC,200.0,张,1.0,指数点,0.2指数点,现金交割,20190624,20190816,201908,20190816
IF1908.CFX,IF1908,CFFEX,IF1908,IF,300.0,张,1.0,指数点,0.2指数点,现金交割,20190624,20190816,201908,20190816
IC2003.CFX,IC2003,CFFEX,IC2003,IC,200.0,张,1.0,指数点,0.2指数点,现金交割,20190722,20200320,202003,20200320
IF2003.CFX,IF2003,CFFEX,IF2003,IF,300.0,张,1.0,指数点,0.2指数点,现金交割,20190722,20200320,202003,20200320
IC1910.CFX,IC1910,CFFEX,IC1910,IC,200.0,张,1.0,指数点,0.2指数点,现金交割,20190819,20191018,201910,20191018
IF1910.CFX,IF1910,CFFEX,IF1910,IF,300.0,张,1.0,指数点,0.2指数点,现金交割,20190819,20191018,201910,20191018
IC1911.CFX,IC1911,CFFEX,IC1911,IC,200.0,张,1.0,指数点,0.2指数点,现金交割,20190923,20191115,201911,20191115
IF1911.CFX,IF1911,CFFEX,IF1911,IF,300.0,张,1.0,指数点,0.2指数点,现金交割,20190923,20191115,201911,20191115
IC2006.CFX,IC2006,CFFEX,IC2006,IC,200.0,张,1.0,指数点,0.2指数点,现金交割,20191021,20200619,202006,20200619
IF2006.CFX,IF2006,CFFEX,IF2006,IF,300.0,张,1.0,指数点,0.2指数点,现金交割,20191021,20200619,202006,20200619
IC2001.CFX,IC2001,CFFEX,IC2001,IC,200.0,张,1.0,指数点,0.2指数点,现金交割,20191118,20200117,202001,20200117
IF2001.CFX,IF2001,CFFEX,IF2001,IF,300.0,张,1.0,指数点,0.2指数点,现金交割,20191118,20200117,202001,20200117
